Ath_ID	description
AT1G64030	 serpin 3 
AT4G21070	 breast cancer susceptibility1 
AT3G06820	 Mov34/MPN/PAD-1 family protein 
AT1G19750	 Transducin/WD40 repeat-like superfamily protein 
AT1G27880	 DEAD/DEAH box RNA helicase family protein 
AT4G21100	 damaged DNA binding protein 1B 
AT5G04560	 HhH-GPD base excision DNA repair family protein 
AT2G36490	 demeter-like 1 
AT4G34060	 demeter-like protein 3 
AT2G21800	 essential meiotic endonuclease 1A 
AT3G07930	 DNA glycosylase superfamily protein 
AT4G35520	 MUTL protein homolog 3 
AT5G56950	 nucleosome assembly protein 1%3B3 
AT1G05900	 endonuclease III 2 
AT5G01840	 ovate family protein 1 
AT4G31880	 transcriptional regulator 
AT1G80810	 Tudor/PWWP/MBT superfamily protein 
AT1G15940	 Tudor/PWWP/MBT superfamily protein 
AT1G02670	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT3G12710	 DNA glycosylase superfamily protein 
AT1G80850	 DNA glycosylase superfamily protein 
AT5G40450	 A-kinase anchor-like protein 
AT3G23580	 ribonucleotide reductase 2A 
AT4G19130	 Replication factor-A protein 1-like protein 
AT2G17690	 ascorbic acid mannose pathway regulator%2C putative (DUF295) 
AT5G40840	 Rad21/Rec8-like family protein 
AT5G16270	 sister chromatid cohesion 1 protein 4 
AT1G78870	 ubiquitin-conjugating enzyme 35 
AT3G28030	 5'-3' exonuclease family protein 
AT5G41360	 homolog of Xeroderma pigmentosum complementation group B 2 
AT2G22260	HOMOLOG OF E. COLI ALKB
AT3G48425	APEX1-LIKE PROTEIN 
AT4G36050	APURINIC/APYRIMIDINIC ENDONUCLEASE2 
AT5G01310	APRATAXIN-LIKE 
AT2G41460	APURINIC ENDONUCLEASE-REDOX PROTEIN 
AT3G12380	ACTIN-RELATED PROTEIN 5 
AT5G38110	ANTI- SILENCING FUNCTION 1B 
AT3G48190	ATAXIA-TELANGIECTASIA MUTATED
AT5G40820	ATAXIA TELANGIECTASIA-MUTATED AND RAD3-RELATED
AT1G05180	AUXIN RESISTANT 1 
AT1G04020	BREAST CANCER ASSOCIATED RING 1 
AT1G27410	BETA LACTAMASE
AT5G01630	BRCA2-LIKE B 
AT1G80210	BRCA1/BRCA2-CONTAINING COMPLEX 36 HOMOLOG A 
AT1G55610	BRI1 LIKE 
AT3G17590	BUSHY GROWTH 
AT3G48750	CELL DIVISION CONTROL 2 
AT3G25100	CELL DIVISION CYCLE 45 
AT1G09770	CELL DIVISION CYCLE 5 
AT1G73690	CYCLIN-DEPENDENT KINASE D1;1 
AT3G50360	CENTRIN2 
AT2G26280	CTC-INTERACTING DOMAIN 7 
AT2G26980	CBL-INTERACTING PROTEIN KINASE 3 
AT5G67380	CASEIN KINASE ALPHA 1 
AT2G03390	CLP SYSTEM ADAPTOR
AT2G32950	CONSTITUTIVE PHOTOMORPHOGENIC 1 
AT4G36280	CRT1 HOMOLOGUE 1 
AT4G08920	CRYPTOCHROME 1 
AT1G04400	CRYPTOCHROME 2 
AT5G24850	CRYPTOCHROME 3 
AT1G27840	DDB1a INTERACTING PROTEIN
AT4G31400	CHROMOSOME TRANSMISSION FIDELITY 7 
AT5G46210	CULLIN4 
AT5G27620	CYCLIN H;1
AT4G05420	DAMAGED DNA BINDING PROTEIN 1A 
AT5G58760	DAMAGED DNA BINDING 2 
AT4G10180	DE-ETIOLATED 1 
AT3G22880	DISRUPTION OF MEIOTIC CONTROL 1 
AT3G10010	DEMETER-LIKE 2 
AT5G22110	DNA POLYMERASE EPSILON SUBUNIT B2 
AT3G12610	DNA-DAMAGE REPAIR/TOLERATION 100 
AT5G18070	DNA-DAMAGE-REPAIR/TOLERATION 101 
AT3G04880	DNA-DAMAGE-REPAIR/TOLERATION 2 
AT1G30480	DNA-DAMAGE-REPAIR/TOLERATION PROTEIN 111 
AT1G64750	DELETION OF SUV3 SUPPRESSOR 1
AT3G46940	DUTP-PYROPHOSPHATASE-LIKE 1
AT5G27740	EMBRYO DEFECTIVE 161
AT2G22140	ESSENTIAL MEIOTIC ENDONUCLEASE 1B 
AT3G05210	UV REPAIR DEFICIENT 7
AT2G40550	E2F TARGET GENE 1 
AT2G35320	EYES ABSENT HOMOLOG 
AT1G48360	FANCONI ANEMIA D2
AT4G14970	FANCONI/FANCD2 ASSOCI- ATED NUCLEASE I 
AT4G29560	FANCONI ANEMIA GROUP E PROTEIN
AT5G49110	FANCONI ANEMIA GROUP I-LIKE PROTEIN
AT1G35530	FANCONI ANEMIA COMPLEMENTATION GROUP M 
AT1G65470	FASCIATA 1 
AT5G64630	FASCIATA 2 
AT1G15910	FACTOR OF DNA METHYLATION 1 
AT4G00380	FACTOR OF DNA METHYLATION 2 
AT2G19520	MULTICOPY SUPPRESSOR OF IRA1 4
AT5G45600	GLIOMAS 41 
AT1G01880	ORTHOLOG OF HSGEN1 
AT5G63960	GIGANTEA SUPPRESSOR5 
AT5G24280	GAMMA-IRRADIATION AND MITOMYCIN C INDUCED 1 
AT3G52115	GAMMA RESPONSE GENE 1 
AT1G05055	GENERAL TRANSCRIPTION FACTOR II H2 
AT5G64610	HISTONE ACETYLTRANSFERASE OF THE MYST FAMILY 1 
AT3G16730	HYPERSENSITIVE TO EXCESS BORON 2 
AT1G05120	HELICASE
AT2G30350	HYL1 INTERACTING GIY-YIG LIKE ENDONUCLEASE 
AT3G28730	HIGH MOBILITY GROUP 
AT3G15150	HIGH PLOIDY2 
AT5G14170	CLATHRIN HEAVY CHAIN 1
AT2G02090	CHROMATIN REMODELING 19
AT5G63950	CHROMATIN REMODELING 24 
AT3G19210	CHROMATIN REMODELING 25
AT1G05490	CHROMATIN REMODELING 31 
AT2G16390	CHROMATIN REMODELING 35
AT3G42670	CHROMATIN REMODELING 38
AT2G18760	CHROMATIN REMODELING 8
AT1G03750	CHROMATIN REMODELING 9
AT5G67100	INCURVATA2 
AT3G48670	INVOLVED IN DE NOVO 2 
AT3G57300	INO80 ORTHOLOG 
AT1G16970	KU70 HOMOLOG 
AT1G48050	KU80 HOMOLOG
AT1G08130	DNA LIGASE 1 
AT5G57160	DNA LIGASE IV
AT1G66730	DNA LIGASE 6 
