AGI_code	short_name	long_name	Meiotic_phase	Description_custom
AT5G21150	AGO9	ARGONAUTE 9	Entry into meiosis	"Somatic fate in germ cells, meiotic chromosome condensation; pericentromeric LTR TE silencing; inhibition of supranumerol cell division of egg cell precursor"
AT3G33520	ARP6	ACTIN-RELATED PROTEIN 6	CO and non-CO outcome of meiotic recombination	"Promotion of meiotic CO formation; also putative component of a chromatin-remodeling complex, regulating flowerin time"
AT1G75950	ASK1	ARABIDOPSIS SKP1 HOMOLOGUE 1	Meiotic cell cycle control spindle - cytokinesis	"ubiquitination pathway, chromatin structure"
AT1G67370	ASY1	ASYNAPTIC 1	Axis and synaptomnemal complex	also PAIR2; meiotic gene; selection in tetraploid arenosa; interacts with ASY3; AE-associated protein; IH bias
AT2G46980	ASY3	ASYNAPTIC 3	Axis and synaptomnemal complex	also PAIR3; meiotic gene; coiled-coil domain protein required for normal meiosis; selection in tetraploid arenosa; interacts with ASY1; AE-associated protein; IH bias
AT4G21270	ATK1	KINESIN 1	Meiotic cell cycle control spindle - cytokinesis	"also KATA, KIN14a; male meiotic spindle morphogenesis; loss of function mutations have reduced fertility and are defective in spindle formation in male meiosis"
AT3G48190	ATM	ATAXIA-TELANGIECTASIA MUTATED	early DSB repair in meiotic recombination	repair of SPO11-induced meiotic DSB repair; additional role in somatic DNA damage repair; kinase
AT5G40820	ATR	ATAXIA TELANGIECTASIA-MUTATED AND RAD3-RELATED	early DSB repair in meiotic recombination	repair of SPO11-induced meiotic DSB repair redundantly with ATM; kinase
AT1G05180	AXR1	AUXIN RESISTANT 1	Control of CO distribution in meiotic recombination	Regulation of CO distribution; E3 RUB ligase; subunit of the RUB1 activating enzyme that regulates the protein degradation activity of Skp1-Cullin-Fbox complexes
AT4G00020 	BRCA2A	BREAST CANCER 2 like 2A	early DSB repair in recombination	repair of SPO11-induced DSB; two paralogues in At; RecA accessory factor; Recruitment of AtRAD5/AtDMC1 to nascent presynaptic filament. Role may be analogous to Rad52 in budding yeast; required to prevent chromosome fragmentation in Arabidopsis
AT5G01630	BRCA2B	BREAST CANCER 2 like 2B	early DSB repair in recombination	repair of SPO11-induced DSB;two paralogues in At; RecA accessory factor; Recruitment of AtRAD5/AtDMC1 to nascent presynaptic filament. Role may be analogous to Rad52 in budding yeast; required to prevent chromosome fragmentation in Arabidopsis
AT4G15890	CAP-D3	CAP-3D subunit of CONDENSIN II	Meiotic cell cycle control spindle - cytokinesis	"CAP-D3 is a subunit of condensin II (with SMC2/SMC4, HEB2/CAP-H2, HEB1/CAP-G2). It a target of MMD1 PHD-Zn-finger containing TF-mediated regulation and also involved in meiotic chromosome condensation. Mutants have reduced fertility."
AT3G25100	CDC45	CELL DIVISION CYCLE 45	Entry into meiosis	Meiotic and mitotic S-Phase DNA repair
AT3G48750	CDKA;1	CELL DIVISION CONTROL 2	Meiotic cell cycle control spindle - cytokinesis	also CDC2; IH bias and meiotic cell cycle transitions; also regulates the mitosis-to-endocycle transition during leaf development
AT5G63370	CDKG1	CYCLIN-DEPENDENT KINASE G1	CO and non-CO outcome of meiotic recombination	Promotion of synapsis and meiotic CO formation; essential for meiosis at high temperatures; kinase
AT3G52115	COM1	"GAMMA RESPONSE GENE 1, GR1"	early DSB repair in meiotic recombination	repair of SPO11-induced DSB; Processing of DSBs. Referred to as Sae2 in budding yeast. Interaction partner with SPO11. Possible functional homologue of the mammalian MEI1 protein required for DSB formation. Acts downstream of SPO11 and upstream of DMC1.
AT4G31400	CTF7	CHROMOSOME TRANSMISSION FIDELITY 7	Sister chromatid cohesion	also ECO1; SCC establishment; DNA repair
AT1G07060	DFO	DSB FORMATION	DSB formation in meiotic recombination	DSB formation
AT3G22880 	DMC1	DISRUPTION OF MEIOTIC CONTROL 1	inter-homologous (IH) bias during meiotic recombination	inter-homologous (IH) bias; recombinase (RecA homologue; catalyses strand excgange) only involved in meiosis; single-strand DNA invasion
AT2G21800	EME1A	ESSENTIAL MEIOTIC ENDONUCLEASE 1A	CO and non-CO outcome of meiotic recombination	Forms a complex with MUS81 that functions as endonuclease in DNA recombination and repair processes. No direct evidence for role in meiosis.
AT2G22140	EME1B	ESSENTIAL MEIOTIC ENDONUCLEASE 1B	CO and non-CO outcome of meiotic recombination	Forms a complex with MUS81 that functions as endonuclease in DNA recombination and repair processes. No direct evidence for role in meiosis.
AT4G22970	ESP	EXTRA SPINDLE POLES	Sister chromatid cohesion	"Encodes a separase (ESP); SCC release, microtubule organzation; also important in mitotic cell division"
AT1G35530	FANCM	FANCONI ANEMIA COMPLEMENTATION GROUP M	CO and non-CO outcome of meiotic recombination	anti-CO activity; suppresses class II pathway of meiotic recombination by disassembling D-loops to promote SDSA; DNA translocase; repair of DNA inter-strand crosslinks in somatic cells; suppresses somatic homologous recombination; acts in DSB-induced homologous recombination; acts as an anti-recombinase in meiosis
AT3G27120	FIGL1	AAA-ATPase FIDGETIN-LIKE 1	inter-homologous (IH) bias during meiotic recombination	"anti-CO activity; limits CO by interfering with strand invasion (DMC1, RAD51); two AGI codes identical mRNA"
AT3G27130	FIGL1	AAA-ATPase FIDGETIN-LIKE 2	inter-homologous (IH) bias during meiotic recombination	"anti-CO activity; limits CO by interfering with strand invasion (DMC1, RAD51); two AGI codes identical mRNA"
AT1G04650	FLIP	FIDGETIN-LIKE-1 INTERACTING PROTEIN	inter-homologous (IH) bias during meiotic recombination	"FLIP is a member of a conserved gene family with wide distribution across taxa. In Arabidopsis, it forms a complex with FIGL1 regulates meiotic crossover formation via RAD51 and DMC1."
AT1G53490	HEI10	HOMOLOG OF HUMAN HEI10	CO and non-CO outcome of meiotic recombination	"class I pathway of meiotic CO, another orthologue of yeast ZIP3; class I pathway of meiotic recombination accounting for 85% of COs; yeast Zip3 possesses SUMO-E3 ligase activity. May regulate SC polymerization to ensure it is contingent on homologue pairing; required for full number of chiasmata formation"
AT1G13330 	HOP2	HOMOLOGOUS-PAIRING PROTEIN 2	inter-homologous (IH) bias during meiotic recombination	"repair of SPO11-induced DSB and IH bias;Stabilization of presynaptic filament and promotion of duplex capture. Act as a complex, interaction demonstrated by yeast two-hybrid analysis; Required for chromosome pairing and synapsis and for DSB repair. "
AT1G06660	JASON		Meiotic cell cycle control spindle - cytokinesis	meiosis II spindle orientation;  jason mutant produces diploid male gametes leading to triploid progeny
AT3G09660	MCM8	MINICHROMOSOME MAINTENANCE 8	early DSB repair in meiotic recombination	repair of SPO11-induced DSB in parallel with DMC1
AT1G77320	MEI1	MEIOSIS DEFECTIVE 1	Entry into meiosis	Meiotic S-Phase DNA repair
AT3G27730	MER3	DNA helicase ROCK-N-ROLLERS	CO and non-CO outcome of meiotic recombination	"also RCK; class I CO pathway of meiotic recombination; accounts for 85% of COs; DNA helicase, thought to stabilize and stimulate DNA heteroduplex extension"
AT5G50930	MHF1	HOMOLOG OF HUMAN MHF1	CO and non-CO outcome of meiotic recombination	anti-meiotic CO; limits meiotic crossovers with FANCM
AT1G78790	MHF2	ARABIDOPSIS HOMOLOG OF MAMMALIAN MHF2	CO and non-CO outcome of meiotic recombination	anti-meiotic CO; limits meiotic crossovers with FANCM
AT4G09140	MLH1	MUTL-homologue 1	CO and non-CO outcome of meiotic recombination	"class I CO pathway of meiotic recombination accounting for 85% of Cos; Thought to ensure that dHjs are resolved as COs. MutL homologue, based on evidence in other species AtMLH3 probably forms a heterodimer with AtMLH1; required for full number of CO formation; also required for recombination in somatic cells"
AT4G35520	MLH3	MUTL PROTEIN HOMOLOG 3	CO and non-CO outcome of meiotic recombination	"class I CO pathway of meiotic recombination accounting for 85% of Cos; Thought to ensure that dHjs are resolved as COs. MutL homologue, based on evidence in other species AtMLH3 probably forms a heterodimer with AtMLH1; required for full number of CO formation; contains a metal-binding motif"
AT1G66170	MMD1	MALE MEIOCYTE DEATH 1	Meiotic cell cycle control spindle - cytokinesis	also DUET; chromatin structure and male meiotic progression; PHD-domain containing protein required for male meiosis; direct transcription activator of the meiotic gene TDM1
