AGI code	Short name	Localization	Fe-S cluster type	Full name annotation
AT4G02580	24-kDa	Mitochondria	[2Fe-2S]	NADH:ubiquinone oxidoreductase (Complex I); Fe-S binding proteins of peripheral arm 
AT5G08530	51-kDa	Mitochondria	"[4Fe-4S], FMN"	NADH:ubiquinone oxidoreductase (Complex I); Fe-S binding proteins of peripheral arm 
AT5G37510	75-kDa	Mitochondria	"[2Fe-2S], 2x[4Fe-4S]"	NADH:ubiquinone oxidoreductase (Complex I); Fe-S binding proteins of peripheral arm 
AT5G20960	AAO1	Cytosol	"2x[2Fe-2S], FAD, Mococ"	"Aldehyde oxidase, last step of abscisic acid biosynthesis (AAO3) "
AT3G43600	AAO2	Cytosol	"2x[2Fe-2S], FAD, Mococ"	"Aldehyde oxidase, last step of abscisic acid biosynthesis (AAO3) "
AT2G27150	AAO3	Cytosol	"2x[2Fe-2S], FAD, Mococ"	"Aldehyde oxidase, last step of abscisic acid biosynthesis (AAO3) "
AT1G04580	AAO4	Cytosol	"2x[2Fe-2S], FAD, Mococ"	"Aldehyde oxidase, last step of abscisic acid biosynthesis (AAO3) "
AT3G13640	ABCE1 (RLI1)	Cytosol (P)	2x[4Fe-4S]b	ABC transporter E family member; involved in ribosome assembly (by similarity) 
AT4G19210	ABCE2 (RLI2)	Cytosol (P)	3x[4Fe-4S]b	ABC transporter E family member; involved in ribosome assembly (by similarity) 
AT4G35830	ACO1	Cytosol	[4Fe-4S]	"Aconitase, aconitate hydratase "
AT4G26970	ACO2	Mitochondria	[4Fe-4S]	"Aconitase, aconitate hydratase "
AT2G05710	ACO3	Mitochondria	[4Fe-4S]	"Aconitase, aconitate hydratase "
AT4G21090	ADX1/MFDX2*	Mitochondria	[2Fe-2S]	Adrenodoxin / mitochondrial ferredoxin 
AT4G05450	ADX2/MFDX1*	Mitochondria	[2Fe-2S]	Adrenodoxin / mitochondrial ferredoxin 
AT1G16700	Alpha-helical ferredoxin*	Mitochondria	2x[4Fe-4S]	NADH:ubiquinone oxidoreductase (Complex I); Fe-S binding proteins of peripheral arm 
AT1G79010	Alpha-helical ferredoxin*	Mitochondria	2x[4Fe-4S]	NADH:ubiquinone oxidoreductase (Complex I); Fe-S binding proteins of peripheral arm 
AT4G04610	1-Apr	Plastids	[4Fe-4S]	"Adenosine 5’-phosphosulfate (APS) reductase, first step of reductive sulfite assimilation "
AT1G62180	2-Apr	Plastids	[4Fe-4S]	"Adenosine 5’-phosphosulfate (APS) reductase, first step of reductive sulfite assimilation"
AT4G21990	3-Apr	Plastids	[4Fe-4S]	"Adenosine 5’-phosphosulfate (APS) reductase, first step of reductive sulfite assimilation"
AT2G16570	ATASE1	Plastids	[4Fe-4S]b	"Gln phosphoribosyl pyrophosphate amido-transferase, also called amidophosphoribosyl"
AT4G34740	ATASE2	Plastids	[4Fe-4S]b	"Gln phosphoribosyl pyrophosphate amido-transferase, also called amidophosphoribosyl"
AT4G38880	ATASE3	Unknown	[4Fe-4S]b	"Transferase, or GPAT; involved in purine biosynthesis "
AT2G43360	BIO2	Mitochondria	"[2Fe-2S], [4Fe–4S]"	Biotin synthase 
AT1G44446	CAO	Plastidenvelope	Rieske [2Fe-2S]	Chlorophyllide a oxygenase 
AT2G42750	DJC77	Plastids	[4Fe-4S]b	Chloroplast DnaJ protein; CDJ3 and CDJ4 have been reported from Chlamydomonas reinhardtii; the At homologues are uncharacterized. 
AT3G05345	DJC82	Plastids	[4Fe-4S]b	Chloroplast DnaJ protein; CDJ3 and CDJ4 have been reported from Chlamydomonas reinhardtii; the At homologues are uncharacterized. 
AT5G23240	DJC76	Plastids	[4Fe-4S]b	Chloroplast DnaJ protein; CDJ3 and CDJ4 have been reported from Chlamydomonas reinhardtii; the At homologues are uncharacterized. 
AT2G39670	CFR1	Cytosol 	[4Fe-4S]b	Radical SAM superfamily protein; putative ribosomal RNA large subunit methyltransferase (related to Cfr/RlmN) 
AT3G19630	CFR2	Cytosol 	[4Fe-4S]b	Radical SAM superfamily protein; putative ribosomal RNA large subunit methyltransferase(related to Cfr/RlmN)
AT4G29890	CMO	Plastids	Rieske [2Fe-2S]	"Choline monooxygenase, involved in betaine synthesis in spinach; uncharacterized in Arabidopsis "
AT2G31955	CNX2	Mitochondria	[4Fe-4S]b	First step of Mococ biosynthesis; radical SAM enzyme
AT3G23940	DHAD	Plastids (P)	[4Fe-4S] in E.coli enzyme; [2Fe-2S] in spinach	"Dihydroxyacid dehydratase, homologous to bacterial IlvD; uncharacterized in Arabidopsis  "
AT5G04560	DME	Nucleus	[4Fe-4S]b	Encodes a DNA glycosylase DEMETER (DME). Responsible for endosperm maternal-allele-specific hypomethylation at the MEDEA (MEA) gene 
AT2G36490	DML1(ROS1)	Nucleus	[4Fe-4S]b	A repressor of transcriptional gene silencing. Functions by demethylating the target promoter DNA
AT3G10010	DML2	Nucleus	[4Fe-4S]b	Encodes a protein with DNA glycosylase activity that is involved in maintaining methylation marks
AT4G34060	DML3	Nucleus	[4Fe-4S]b	Encodes a protein with 5-meC and thymine-DNA glycosylase activity with a preference for CpG and CpHpG sequences. Involved in maintaining methylation marks
AT1G20720	DNA helicase	Nucleus	[4Fe-4S]b	"Homologues of human FANCJ, related to RAD3/XPD; uncharacterized in Arabidopsis. See also RAD3 below. "
AT1G20750	DNA helicase	Nucleus	[4Fe-4S]b	"Homologues of human FANCJ, related to RAD3/XPD; uncharacterized in Arabidopsis. See also RAD3 below. "
AT1G79890	DNA helicase	Nucleus (P)	[4Fe-4S]b	Homologue of human CHLR involved in sister chromatid pairing; uncharacterized in plants. 
AT1G79950	RTEL1	Nucleus	[4Fe-4S]b	"Regulator of Telomere Elongation Helicase1, RTEL1; Homologues of human FANCJ, related to RAD3/XPD; uncharacterized in Arabidopsis. See also RAD3 below. "
AT1G67320	POLA3	Nucleus (P)	[4Fe-4S]b	Large subunit of DNA polymerase:primase that synthesizes small RNA primers during discontinuous DNA replication. 
AT3G59630	DPH2	Nucleus (P)	[4Fe-4S]b	"Homologue of Saccharomyces cerevisiae Dph2; putative radical SAM enzyme involved in diphthamide biosynthesis, a histidine modification on EF2 (elongation factor), which is the target of Diphtheria toxin."
AT5G62030	DPH1	Nucleus (P)	[4Fe-4S]b	"Homologue of Saccharomyces cerevisiae Dph1; putative radical SAM enzyme involved in diphthamide biosynthesis, a histidine modification on EF2 (elongation factor), which is the target of Diphtheria toxin. "
AT5G18400	DRE2/CIAPIN1*	Cytosol (P)	"[2Fe-2S], [4Fe-4S]b"	Homologue of human CIAPIN1 
AT1G03055	DWARF27A	Plastids (rice homologue)	[2Fe-2S]?	beta-carotene isomerase D27-like protein; homologue of the characterized rice gene Os11g37650 involved in strigolactone biosynthesis.
AT1G64680	DWARF27B	Plastids (rice homologue)	[2Fe-2S]?	beta-carotene isomerase D27-like protein; homologue of the characterized rice gene Os11g37650 involved in strigolactone biosynthesis.
AT5G50320	ELP3	Nucleus	[4Fe-4S]b	Component of elongator complex; radical SAM protein 
AT2G43400	ETF:QO	Mitochondria	"[4Fe-4S], FAD"	Electron-Transfer Flavoprotein: Ubiquinone Oxidoreductase
AT1G10960	FD1 (PETF2)	Plastids	[2Fe-2S]	Ferredoxin (see Adrenodoxin for mitochondrial ferredoxins) 
