AGI code	Annotation
AT5G04240	 zinc finger protein - like [Arabidopsis thaliana] 
AT1G63490	 transcription factor jumonji (jmjC) domain-containing protein [Arabidopsis thaliana] 
AT1G08620	 transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein [Arabidopsis thaliana] 
AT4G20400	 transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein [Arabidopsis thaliana] 
AT3G48430	 zinc finger (C2H2 type) family protein / transcription factor jumonji (jmj) family protein [Arabidopsis thaliana] 
AT1G30810	 transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein [Arabidopsis thaliana] 
AT2G34880	 transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein [Arabidopsis thaliana] 
AT5G46910	 hypothetical protein [Arabidopsis thaliana] 
AT1G11780	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G14140	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT5G01780	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT1G03475	" coproporphyrinogen III oxidase, putative / coproporphyrinogenase, putative / coprogen oxidase, putative [Arabidopsis thaliana] "
AT4G03205	" coproporphyrinogen III oxidase, putative / coproporphyrinogenase, putative / coprogen oxidase, putative [Arabidopsis thaliana] "
AT5G10070	 expressed protein [Arabidopsis thaliana] 
AT5G54080	" homogentisate 1,2-dioxygenase [Arabidopsis thaliana] "
AT4G31770	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT2G38460	 iron transporter-related [Arabidopsis thaliana] 
AT5G03570	 hypothetical protein [Arabidopsis thaliana] 
AT1G22950	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G18210	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G48740	 expressed protein [Arabidopsis thaliana] 
AT4G02980	 auxin-binding protein 1 (ABP1) [Arabidopsis thaliana] 
AT1G80460	" glycerol kinase, putative [Arabidopsis thaliana] "
AT4G30310	" ribitol kinase, putative [Arabidopsis thaliana] "
AT5G49650	 xylulose kinase [Arabidopsis thaliana] 
AT2G21370	" xylulose kinase, putative [Arabidopsis thaliana] "
AT3G21300	 RNA methyltransferase family protein [Arabidopsis thaliana] 
AT3G27180	 expressed protein [Arabidopsis thaliana] 
AT1G06570	 4-hydroxyphenylpyruvate dioxygenase (HPD) [Arabidopsis thaliana] 
AT2G25280	 expressed protein [Arabidopsis thaliana] 
AT1G43800	" acyl-[acyl-carrier-protein] desaturase, putative / stearoyl-ACP desaturase, putative [Arabidopsis thaliana] "
AT2G43710	 acyl-[acyl-carrier-protein] desaturase / stearoyl-ACP desaturase (SSI2) [Arabidopsis thaliana] 
AT3G02610	" acyl-[acyl-carrier-protein] desaturase, putative / stearoyl-ACP desaturase, putative [Arabidopsis thaliana] "
AT3G02620	" acyl-[acyl-carrier-protein] desaturase, putative / stearoyl-ACP desaturase, putative [Arabidopsis thaliana] "
AT3G02630	" acyl-[acyl-carrier-protein] desaturase, putative / stearoyl-ACP desaturase, putative [Arabidopsis thaliana] "
