AGI code	Annotation
AT1G01020	 ARV1 [Arabidopsis thaliana] 
AT1G01040	 DCL1 (DICER-LIKE1); ATP-dependent helicase/ ribonuclease III [Arabidopsis thaliana] 
AT1G01150	 unknown protein [Arabidopsis thaliana] 
AT1G01210	 DNA binding / DNA-directed RNA polymerase/ transcription factor [Arabidopsis thaliana] 
AT1G01780	 zinc ion binding [Arabidopsis thaliana] 
AT1G01880	 DNA binding / nuclease [Arabidopsis thaliana] 
AT1G02030	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G02040	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G02065	 SPL8 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 8); DNA binding [Arabidopsis thaliana] 
AT1G02070	 unknown protein [Arabidopsis thaliana] 
AT1G02170	 LOL3 (LSD ONE LIKE 3); caspase/ cysteine-type endopeptidase [Arabidopsis thaliana] 
AT1G02610	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G02860	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G03090	 MCCA [Arabidopsis thaliana] 
AT1G03280	 RNA polymerase II transcription factor/ transcription initiation factor [Arabidopsis thaliana] 
AT1G03445	 BSU1; hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G03790	 nucleic acid binding / transcription factor [Arabidopsis thaliana] 
AT1G03840	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G04020	 ATBRCA1; protein binding / transcription coactivator/ ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G04360	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G04445	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT1G04790	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G04850	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT1G04860	 UBP2 (UBIQUITIN-SPECIFIC PROTEASE 2); ubiquitin-specific protease [Arabidopsis thaliana] 
AT1G04950	 TAFII59; DNA binding / transcription initiation factor [Arabidopsis thaliana] 
AT1G04990	 nucleic acid binding [Arabidopsis thaliana] 
AT1G05055	 transcription factor [Arabidopsis thaliana] 
AT1G05120	 ATP binding / ATP-dependent helicase/ DNA binding / helicase/ nucleic acid binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G05140	 metalloendopeptidase/ protein binding [Arabidopsis thaliana] 
AT1G05200	 ATGLR3.4 [Arabidopsis thaliana] 
AT1G05300	 ZIP5; cation transporter [Arabidopsis thaliana] 
AT1G05520	 protein binding / transporter [Arabidopsis thaliana] 
AT1G05690	 protein binding / transcription regulator [Arabidopsis thaliana] 
AT1G05830	 DNA binding / nucleic acid binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G05880	 unknown protein [Arabidopsis thaliana] 
AT1G05890	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G06130	 hydroxyacylglutathione hydrolase [Arabidopsis thaliana] 
AT1G06330	 copper ion binding / metal ion binding [Arabidopsis thaliana] 
AT1G06430	 FTSH8; ATP-dependent peptidase/ ATPase/ metallopeptidase/ zinc ion binding [Arabidopsis thaliana] 
AT1G06570	 PDS1 (PHYTOENE DESATURATION 1) [Arabidopsis thaliana] 
AT1G06770	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G07010	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G07170	 unknown protein [Arabidopsis thaliana] 
AT1G07360	 RNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT1G07510	 FTSH10; ATP binding / ATPase/ metalloendopeptidase/ nucleoside-triphosphatase/ nucleotide binding [Arabidopsis thaliana] 
AT1G07600	 MT1A (METALLOTHIONEIN 1A) [Arabidopsis thaliana] 
AT1G07610	 MT1C [Arabidopsis thaliana] 
AT1G07640	 OBP2; DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G07645	 catalytic/ lactoylglutathione lyase [Arabidopsis thaliana] 
AT1G08000	 transcription factor [Arabidopsis thaliana] 
AT1G08010	 transcription factor [Arabidopsis thaliana] 
AT1G08050	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G08080	 carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] 
AT1G08110	 calmodulin binding / lactoylglutathione lyase [Arabidopsis thaliana] 
AT1G08290	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
