,WFe_pH5.5_WT_R1,WFe_pH5.5_WT_R2,WFe_pH5.5_WT_R3,LFe_pH5.5_WT_R1,LFe_pH5.5_WT_R2,LFe_pH5.5_WT_R3,LFe_pH7.5_WT_R1,LFe_pH7.5_WT_R2,LFe_pH7.5_WT_R3,WFe_pH7.5_WT_R1,WFe_pH7.5_WT_R2,WFe_pH7.5_WT_R3
AT1G01010,1215,1514,1463,1444,1600,1889,1183,1076,1083,1495,1209,1568
AT1G01020,471,445,398,365,346,324,391,387,344,313,354,285
AT1G03987,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01030,49,79,53,63,51,39,40,23,35,49,44,33
AT1G01040,1728,1702,1391,1362,1324,1266,1436,1368,1173,1435,1448,1221
AT1G03993,0,0,0,0,0,0,0,2,0,2,0,0
AT1G01046,7,18,19,11,16,5,7,10,8,8,5,0
AT1G01050,2433,2425,2688,2168,1919,2117,2225,2205,2414,2014,2146,2381
AT1G03997,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01060,32,35,27,49,63,58,40,70,60,14,53,28
AT1G01070,639,539,638,659,558,616,511,616,588,829,728,794
AT1G04003,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,179,160,156,108,140,145,83,83,116,109,109,134
AT1G01090,2991,3253,3823,2723,2686,3282,2507,2450,3022,2434,2414,2608
AT1G01100,4251,4217,4339,3236,2985,3699,3459,3351,3660,3874,3480,3685
AT1G01110,206,208,195,127,160,134,183,209,182,132,137,113
AT1G01120,1491,1507,1679,1502,1558,2008,1305,1266,1403,1089,1316,1305
AT1G01130,11,11,9,14,19,18,16,18,8,6,8,13
AT1G01140,30,46,25,40,91,73,22,9,33,37,39,41
AT1G01150,6,4,10,3,2,6,7,3,5,4,5,11
AT1G01160,1060,1025,895,871,740,740,987,854,854,858,785,684
AT1G04007,9,13,14,7,9,6,14,2,15,6,14,14
AT1G01170,96,58,104,85,69,68,65,50,53,53,42,67
AT1G04013,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01180,849,751,818,812,834,841,547,484,456,670,553,688
AT1G08765,14,30,12,33,31,9,27,36,32,23,34,23
AT1G01183,0,1,1,1,0,0,1,1,0,1,2,0
AT1G01190,1719,1570,1204,360,302,286,438,147,276,883,1249,791
AT1G01200,81,102,168,51,89,67,57,30,73,100,91,105
AT1G01210,342,295,297,266,250,284,269,260,270,211,198,232
AT1G04017,1,0,0,0,0,0,0,0,0,0,0,0
AT1G01220,690,675,699,607,550,648,700,821,772,684,737,644
AT1G04023,0,0,0,0,0,2,1,0,0,0,1,0
AT1G01225,214,246,227,198,159,209,163,154,171,202,246,212
AT1G01230,994,1133,1119,1100,1207,1346,1065,1027,1163,1298,1049,1258
AT1G01240,1118,845,882,1008,1043,1009,895,961,877,1077,965,1115
AT1G01250,0,0,0,0,1,0,0,0,1,1,0,4
AT1G01260,874,753,748,811,806,754,666,726,646,813,605,744
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,359,346,339,355,325,379,361,331,378,305,282,313
AT1G01300,2351,2513,2706,1493,1483,1697,1779,1586,2000,1966,2026,2311
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,0,0,2,2,0,4,1,0,1,2,0,2
AT1G01320,569,695,523,391,358,335,453,424,450,399,420,396
AT1G01335,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,6122,5051,5325,6180,5689,5411,7122,7305,5663,7145,6636,6350
AT1G01350,733,773,782,780,716,774,736,725,764,761,678,693
AT1G01355,0,0,0,1,0,0,0,0,0,0,0,0
AT1G01360,802,703,797,823,782,843,882,780,885,841,781,1047
AT1G01370,113,109,131,110,118,157,105,120,122,97,115,107
AT1G01380,14,34,27,151,103,109,175,163,144,146,99,108
AT1G01390,0,3,1,29,72,52,21,16,14,28,10,31
AT1G01400,0,0,0,0,0,7,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,30,10,20,16,9,21,11,8,7,12,18,17
AT1G01430,893,979,1098,673,769,665,439,436,564,624,577,702
AT1G01440,1331,1357,1358,1278,1427,1238,1211,1245,1279,1413,1214,1227
AT1G01448,742,764,806,868,756,694,717,863,669,1006,796,734
AT1G01450,3,4,10,3,9,3,8,3,13,4,6,17
AT1G01453,19,8,39,22,33,39,5,2,4,35,43,38
AT1G01460,1,0,0,1,0,0,0,0,0,0,0,0
AT1G01470,1232,1689,1307,858,859,945,870,774,931,893,963,1006
AT1G01480,127,168,121,193,248,285,236,257,283,327,255,337
AT1G01490,952,1039,884,924,1160,1096,897,958,919,1458,1366,1468
AT1G01500,439,434,418,517,521,522,401,374,424,409,379,476
AT1G01510,1357,1448,1393,1158,1031,1097,1130,1205,1317,1148,1140,1276
AT1G01520,7,10,0,90,50,53,128,189,100,2,2,11
AT1G01530,0,0,0,0,1,0,0,0,0,0,0,0
AT1G01540,1290,1276,1350,951,1030,999,1064,1175,1341,1141,1035,1088
AT1G01550,8755,8547,9264,9896,9620,9852,9451,9404,9506,9099,8243,8940
AT1G01560,99,73,98,83,73,115,221,182,104,92,76,64
AT1G01570,156,201,141,334,323,330,546,401,448,728,408,611
AT1G01580,11510,42566,333,48798,54042,38790,61169,91299,84040,87788,75344,92557
AT1G01590,16,7,13,13,1,3,45,34,32,16,19,13
AT1G01600,138,168,150,160,130,291,226,252,263,74,112,72
AT1G01610,925,983,1098,1124,1109,1898,997,1028,1187,578,873,883
AT1G01620,28948,29035,32519,23774,26550,22290,15888,15639,16969,29173,25361,32320
AT1G01630,1430,1536,1480,1738,1800,1771,1738,1911,2014,2118,1983,2077
AT1G01640,2160,2454,1927,2172,1708,1821,2068,1976,1979,2251,2210,2125
AT1G01650,1862,2081,1814,2121,2035,2221,3419,3332,3464,3791,3273,3663
AT1G04027,16,19,28,14,13,8,24,36,32,32,39,25
AT1G01660,351,316,367,299,360,274,187,210,192,529,319,403
AT1G01670,385,344,315,250,284,286,274,262,214,365,340,270
AT1G01680,120,187,121,145,153,214,617,325,278,205,135,81
AT1G01690,244,270,202,297,319,300,282,333,268,278,209,246
AT1G01695,7,27,22,19,20,15,17,18,14,22,15,14
AT1G08775,1,6,0,4,4,2,0,0,0,4,1,8
AT1G04033,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04037,0,0,0,0,2,1,1,0,1,0,0,2
AT1G01700,62,60,57,66,42,45,20,61,72,69,76,66
AT1G01710,982,925,897,835,843,853,946,888,867,1056,981,929
AT1G01715,75,76,79,67,50,88,60,66,75,64,56,48
AT1G01720,206,267,161,328,375,417,308,364,303,380,282,301
AT1G04043,0,0,0,0,0,2,0,4,0,0,0,1
AT1G01725,136,155,147,194,140,158,147,150,138,171,175,138
AT1G04047,1,1,0,3,3,3,4,3,0,3,0,2
AT1G01730,857,808,792,1223,1096,1244,1054,1134,1037,1129,882,1016
AT1G01740,253,205,178,175,177,179,124,171,153,192,229,160
AT1G01750,436,377,576,469,650,453,148,145,212,630,526,702
AT1G04053,27,29,46,27,32,9,30,22,30,44,24,15
AT1G01760,162,87,99,131,118,97,146,161,111,102,119,138
AT1G04057,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01770,447,479,408,479,533,369,413,349,315,465,342,506
AT1G01780,529,614,591,547,629,540,439,470,482,618,515,528
AT1G01790,914,1076,802,917,987,869,1058,1192,1143,1311,1169,1161
AT1G04063,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01800,1592,1805,1619,1980,1787,1802,1721,1653,1643,2416,2184,2148
AT1G01810,1,3,10,7,10,3,7,3,3,3,11,9
AT1G01820,2791,2501,2743,2650,2565,2654,2262,2281,2112,2321,2685,2524
AT1G01830,664,655,748,639,723,719,741,808,844,619,630,771
AT1G04067,0,3,1,0,1,0,1,0,0,1,0,1
AT1G01840,5,16,17,16,19,24,17,16,10,11,16,9
AT1G01860,184,192,150,170,142,176,130,171,101,145,120,154
AT1G04073,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,83,87,74,34,45,28,51,33,46,60,41,47
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,162,219,217,259,263,228,142,176,261,141,226,242
AT1G04077,0,0,2,1,1,7,0,2,1,1,0,1
AT1G01910,1424,1336,1416,1299,1314,1258,1428,1421,1464,1350,1317,1338
AT1G04083,16,15,27,13,18,14,23,13,12,21,12,27
AT1G01920,659,614,600,487,484,508,642,695,611,553,429,528
AT1G01930,459,431,449,429,441,324,344,382,385,404,383,426
AT1G01940,231,316,336,242,233,317,219,237,294,262,249,229
AT1G01950,1020,991,1061,947,996,1010,879,961,1003,1003,839,930
AT1G01960,4430,4499,4442,3837,3819,3779,4397,4689,4637,3904,3362,3982
AT1G01970,163,148,172,133,130,138,116,144,139,112,123,127
AT1G01980,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01990,507,507,511,470,448,421,439,451,385,459,385,533
AT1G02000,511,753,598,410,693,627,305,359,442,539,591,659
