AGI code	Annotation
AT1G01600	Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.
AT1G02350	protoporphyrinogen oxidase-related; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: siroheme biosynthetic process; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink).
AT1G02410	cytochrome c oxidase assembly protein CtaG / Cox11 family; FUNCTIONS IN: copper ion binding; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase assembly protein CtaG/Cox11 (InterPro:IPR007533); Has 2371 Blast hits to 2371 proteins in 476 species: Archae - 0; Bacteria - 724; Metazoa - 77; Fungi - 85; Plants - 18; Viruses - 0; Other Eukaryotes - 1467 (source: NCBI BLink).
AT1G03475	"Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection."
AT1G05160	"Encodes an ent-kaurenoic acid hydroxylase, a  member of the CYP88A cytochrome p450 family."
AT1G05240	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: plant-type cell wall; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT1G05250.1); Has 2736 Blast hits to 2721 proteins in 173 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 33; Plants - 2677; Viruses - 0; Other Eukaryotes - 22 (source: NCBI BLink)."
AT1G05250	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT1G05240.1); Has 2736 Blast hits to 2721 proteins in 173 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 33; Plants - 2677; Viruses - 0; Other Eukaryotes - 22 (source: NCBI BLink)."
AT1G08970	heme activated protein (HAP5c)
AT1G09090	"respiratory burst oxidase homolog B (ATRBOHB); FUNCTIONS IN: in 7 functions; INVOLVED IN: response to heat, defense response; LOCATED IN: integral to membrane, membrane; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Cytochrome b245, heavy chain (InterPro:IPR000778), EF-Hand type (InterPro:IPR011992), Ferric reductase-like transmembrane component, N-terminal (InterPro:IPR013130), NADPH oxidase Respiratory burst (InterPro:IPR013623), FAD-binding 8 (InterPro:IPR013112), EF-HAND 2 (InterPro:IPR018249), Riboflavin synthase-like beta-barrel (InterPro:IPR017938); BEST Arabidopsis thaliana protein match is: RBOHD (RESPIRATORY BURST OXIDASE HOMOLOGUE D); NAD(P)H oxidase (TAIR:AT5G47910.1); Has 1090 Blast hits to 1043 proteins in 174 species: Archae - 2; Bacteria - 49; Metazoa - 532; Fungi - 167; Plants - 257; Viruses - 0; Other Eukaryotes - 83 (source: NCBI BLink)."
AT1G09940	Encodes glutamyl-tRNA reductase. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins
AT1G10865	"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase assembly protein PET191, N-terminal (InterPro:IPR018793); Has 170 Blast hits to 170 proteins in 83 species: Archae - 0; Bacteria - 0; Metazoa - 85; Fungi - 61; Plants - 21; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."
AT1G11610	putative cytochrome P450
AT1G12740	encodes a protein with cytochrome P450 domain
AT1G13070	putative cytochrome P450
AT1G13080	cytochrome P450 monooxygenase
AT1G13090	putative cytochrome P450
AT1G13100	putative cytochrome P450
AT1G14540	"anionic peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: leaf apex, sepal, root, stamen; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: anionic peroxidase, putative (TAIR:AT1G14550.1); Has 2965 Blast hits to 2948 proteins in 232 species: Archae - 0; Bacteria - 4; Metazoa - 2; Fungi - 121; Plants - 2791; Viruses - 0; Other Eukaryotes - 47 (source: NCBI BLink)."
AT1G14550	"anionic peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: anionic peroxidase, putative (TAIR:AT1G14540.1); Has 3100 Blast hits to 3086 proteins in 229 species: Archae - 0; Bacteria - 4; Metazoa - 2; Fungi - 255; Plants - 2791; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink)."
AT1G14730	"LOCATED IN: endomembrane system, integral to membrane; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome b561, eukaryote (InterPro:IPR004877), Cytochrome b561/ferric reductase transmembrane (InterPro:IPR006593); BEST Arabidopsis thaliana protein match is: ACYB-1; carbon-monoxide oxygenase (TAIR:AT5G38630.1); Has 447 Blast hits to 446 proteins in 71 species: Archae - 0; Bacteria - 0; Metazoa - 321; Fungi - 5; Plants - 110; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink)."
AT1G15120	"ubiquinol-cytochrome C reductase complex 7.8 kDa protein, putative / mitochondrial hinge protein, putative; FUNCTIONS IN: ubiquinol-cytochrome-c reductase activity; INVOLVED IN: mitochondrial electron transport, ubiquinol to cytochrome c; LOCATED IN: mitochondrion, mitochondrial respiratory chain complex III; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ubiquinol-cytochrome C reductase hinge (InterPro:IPR003422); BEST Arabidopsis thaliana protein match is: ubiquinol-cytochrome C reductase complex 7.8 kDa protein, putative / mitochondrial hinge protein, putative (TAIR:AT2G01090.1); Has 294 Blast hits to 294 proteins in 98 species: Archae - 0; Bacteria - 0; Metazoa - 161; Fungi - 34; Plants - 50; Viruses - 0; Other Eukaryotes - 49 (source: NCBI BLink)."
AT1G15220	"Encodes a protein with oxidoreductase activity present in the inner membrane of mitochondria. CCMH is postulated to play a central role in mitochondrial cytochrome c maturation, probably as part of a heme lyase complex that also holds activity of reducing apocytochrome c. CCMH interacts with apocytochrome AtCYTc-a and is shown to be present in a 500 kDa-complex along with CcmFN2."
AT1G16400	Encodes cytochrome P450 CYP79F2.
