AGI code	Annotation
AT1G02335	"GERMIN-LIKE PROTEIN SUBFAMILY 2 MEMBER 2 PRECURSOR. (GL22); FUNCTIONS IN: manganese ion binding, nutrient reservoir activity; LOCATED IN: endomembrane system, apoplast; CONTAINS InterPro DOMAIN/s: Cupin, RmlC-type (InterPro:IPR011051), Cupin 1 (InterPro:IPR006045), RmlC-like jelly roll fold (InterPro:IPR014710), Germin (InterPro:IPR001929); BEST Arabidopsis thaliana protein match is: GLP10 (GERMIN-LIKE PROTEIN 10); manganese ion binding / nutrient reservoir (TAIR:AT3G62020.1); Has 1351 Blast hits to 1293 proteins in 225 species: Archae - 0; Bacteria - 312; Metazoa - 0; Fungi - 63; Plants - 945; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink).      GERMIN-LIKE PROTEIN SUBFAMILY 2 MEMBER 2 PRECURSOR.; GL22; T6A9.3        manganese ion binding, endomembrane system, nutrient reservoir activity, apoplast      true"
AT1G07160	"protein phosphatase 2C, putative / PP2C, putative; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: chloroplast, protein serine/threonine phosphatase complex; EXPRESSED IN: sperm cell; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: protein phosphatase 2C, putative / PP2C, putative (TAIR:AT2G30020.1); Has 4757 Blast hits to 4614 proteins in 388 species: Archae - 6; Bacteria - 337; Metazoa - 1505; Fungi - 554; Plants - 1322; Viruses - 11; Other Eukaryotes - 1022 (source: NCBI BLink).     F10K1.13; F10K1_13       chloroplast, protein serine/threonine phosphatase complex, catalytic activity, protein serine/threonine phosphatase activity, protein amino acid dephosphorylation, protein serine/threonine phosphatase activity, sperm cell  true"
AT1G07430	"protein phosphatase 2C, putative / PP2C, putative; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: protein serine/threonine phosphatase complex; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: protein phosphatase 2C, putative / PP2C, putative (TAIR:AT2G29380.1); Has 4401 Blast hits to 4389 proteins in 274 species: Archae - 0; Bacteria - 82; Metazoa - 1419; Fungi - 539; Plants - 1372; Viruses - 7; Other Eukaryotes - 982 (source: NCBI BLink). F22G5.22; F22G5_22; HAI2; HIGHLY ABA-INDUCED PP2C GENE 2         protein serine/threonine phosphatase complex, catalytic activity, protein serine/threonine phosphatase activity, protein amino acid dephosphorylation, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.04 four leaves visible, LP.06 six leaves visible, carpel, cauline leaf, embryo, flower, inflorescence meristem, leaf, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, protein serine/threonine phosphatase activity, seed, sepal, sperm cell, stamen, stem, vascular tissue  true"
AT1G07810	"Encodes an ER-type Ca2+-pumping ATPase. ACA3; ARABIDOPSIS THALIANA ER-TYPE CA2+-ATPASE 1; ATECA1; ECA1; ER-TYPE CA2+-ATPASE 1; F24B9.9; F24B9_9  plasma membrane, response to cadmium ion, callus, cultured cell, calcium ion transport, calcium-transporting ATPase activity, cellular manganese ion homeostasis, endoplasmic reticulum, endoplasmic reticulum membrane, guard cell, manganese ion transport, response to manganese ion        true"
AT1G08420	"BRI1 SUPPRESSOR 1 (BSU1)-LIKE 2 (BSL2); FUNCTIONS IN: hydrolase activity, manganese ion binding, protein serine/threonine phosphatase activity, phosphoprotein phosphatase activity, iron ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: male gametophyte, guard cell, cultured cell, pollen tube; EXPRESSED DURING: M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Galactose oxidase/kelch, beta-propeller (InterPro:IPR011043), Metallophosphoesterase (InterPro:IPR004843), Kelch repeat type 1 (InterPro:IPR006652), Kelch repeat type 2 (InterPro:IPR011498), Serine/threonine protein phosphatase, BSU1 (InterPro:IPR012391), Kelch-type beta propeller (InterPro:IPR015915), Serine/threonine-specific protein phosphatase and bis(5-nucleosyl)-tetraphosphatase (InterPro:IPR006186); BEST Arabidopsis thaliana protein match is: kelch repeat-containing serine/threonine phosphoesterase family protein (TAIR:AT2G27210.1); Has 8470 Blast hits to 6983 proteins in 414 species: Archae - 49; Bacteria - 256; Metazoa - 3431; Fungi - 1255; Plants - 1374; Viruses - 8; Other Eukaryotes - 2097 (source: NCBI BLink).       BRI1 SUPPRESSOR 1 (BSU1)-LIKE 2; BSL2; T27G7.10; T27G7_10        plasma membrane, hydrolase activity, iron ion binding, phosphoprotein phosphatase activity, manganese ion binding, cultured cell, M germinated pollen stage, biological process unknown, guard cell, male gametophyte, pollen tube, protein serine/threonine phosphatase activity      false"
AT1G09300	"metallopeptidase M24 family protein; FUNCTIONS IN: metallopeptidase activity, manganese ion binding, metalloexopeptidase activity, aminopeptidase activity; INVOLVED IN: proteolysis, cellular process; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase M24B, X-Pro dipeptidase/aminopeptidase P  N-terminal (InterPro:IPR007865), Peptidase M24, structural domain (InterPro:IPR000994), Peptidase M24, methionine aminopeptidase (InterPro:IPR001714); BEST Arabidopsis thaliana protein match is: aminopeptidase/ manganese ion binding (TAIR:AT4G29490.1); Has 10502 Blast hits to 10476 proteins in 1514 species: Archae - 191; Bacteria - 5847; Metazoa - 520; Fungi - 373; Plants - 118; Viruses - 0; Other Eukaryotes - 3453 (source: NCBI BLink).          aminopeptidase activity, metalloexopeptidase activity, proteolysis, manganese ion binding, cellular process, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.04 four leaves visible, LP.06 six leaves visible, LP.10 ten leaves visible, carpel, cauline leaf, cotyledon, embryo, flower, hypocotyl, leaf, leaf whorl, metallopeptidase activity, pedicel, petal, petal differentiation and expansion stage, petiole, root, seed, sepal, shoot, shoot apex, stamen, stem       true"
AT1G09560	"germin-like protein (GLP5)      F14J9.22; F14J9_22; GERMIN-LIKE PROTEIN 5; GLP5  cell wall, nucleus, manganese ion binding, nutrient reservoir activity, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, L mature pollen stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, carpel, cauline leaf, cotyledon, embryo, flower, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, petiole, response to cold, root, seed, sepal, shoot, shoot apex, stamen, stem    true"
AT1G09780	"2,3-biphosphoglycerate-independent phosphoglycerate mutase, putative / phosphoglyceromutase, putative; FUNCTIONS IN: manganese ion binding, phosphoglycerate mutase activity, 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity, catalytic activity, metal ion binding; INVOLVED IN: response to cadmium ion, response to cold; LOCATED IN: cytosol, mitochondrial envelope, chloroplast, plasma membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Alkaline phosphatase-like, alpha/beta/alpha (InterPro:IPR017849), Metalloenzyme (InterPro:IPR006124), BPG-independent PGAM, N-terminal (InterPro:IPR011258), Alkaline-phosphatase-like, core domain (InterPro:IPR017850), Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (InterPro:IPR005995); BEST Arabidopsis thaliana protein match is: 2,3-biphosphoglycerate-independent phosphoglycerate mutase, putative / phosphoglyceromutase, putative (TAIR:AT3G08590.2); Has 3363 Blast hits to 3360 proteins in 901 species: Archae - 36; Bacteria - 1671; Metazoa - 32; Fungi - 52; Plants - 344; Viruses - 0; Other Eukaryotes - 1228 (source: NCBI BLink).       F21M12.16; F21M12_16     chloroplast, plasma membrane, catalytic activity, phosphoglycerate mutase activity, manganese ion binding, response to cadmium ion, metal ion binding, fruit, cotyledon, leaf, cultured cell, seedling growth, 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.02 two leaves visible, L"
AT1G10130	"Encodes a golgi localized P2A-type Ca2+ ATPase involved in Mn nutrition and homeostasis.        ARABIDOPSIS THALIANA ER-TYPE CA2+-ATPASE 3; ATECA3; ECA3; ENDOPLASMIC RETICULUM-TYPE CALCIUM-TRANSPORTING ATPASE 3; T27I1.16; T27I1_16   callus, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, Golgi apparatus, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, calcium ion transport, calcium-transporting ATPase activity, calmodulin binding, carpel, cauline leaf, cotyledon, embryo, endomembrane system, flower, fruit, guard cell, hydathode, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, manganese ion homeostasis, manganese ion transport, manganese-transporting ATPase activity, pedicel, petal, petal differentiation and expansion stage, petiole, root, root development, seed, sepal, shoot, shoot apex, stamen, stem, vascular tissue true"
AT1G10460	"germin-like protein (GLP7)      GERMIN-LIKE PROTEIN 7; GLP7; T10O24.6    manganese ion binding, nutrient reservoir activity, apoplast, biological process unknown, flower, hypocotyl, inflorescence meristem, petal differentiation and expansion stage, root   true"
