AGI code	Annotation
AT1G22480	plastocyanin-like domain-containing protein
AT1G53240	"Lactate/malate dehydrogenase family protein; FUNCTIONS IN: malate dehydrogenase activity, copper ion binding; INVOLVED IN: response to cadmium ion, response to salt stress, response to cold, defense response to bacterium, peptidyl-cysteine S-nitrosylation; LOCATED IN: mitochondrion, cell wall, chloroplast; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Lactate/malate dehydrogenase, C-terminal (InterPro:IPR022383), Malate dehydrogenase, NAD-dependent, eukaryote/gamma proteobacteria (InterPro:IPR010097), NAD(P)-binding domain (InterPro:IPR016040), L-lactate/malate dehydrogenase (InterPro:IPR001557), Lactate/malate dehydrogenase, N-terminal (InterPro:IPR001236), Malate dehydrogenase, active site (InterPro:IPR001252), Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal (InterPro:IPR015955); BEST Arabidopsis thaliana protein match is: Lactate/malate dehydrogenase family protein (TAIR:AT3G15020.1); Has 17502 Blast hits to 17499 proteins in 5422 species: Archae - 240; Bacteria - 12205; Metazoa - 1281; Fungi - 536; Plants - 649; Viruses - 0; Other Eukaryotes - 2591 (source: NCBI BLink)."
AT1G20340	DRT112 (DNA-damage-repair/toleration protein 112); copper ion binding / electron carrier
AT1G23010	"LPR1 (LOW PHOSPHATE ROOT1); copper ion binding / oxidoreductase, acting on diphenols and related substances as donors, oxygen as acceptor"
AT1G64640	plastocyanin-like domain-containing protein
AT1G64600	copper ion binding; Cox11-like
AT1G24360	"NAD(P)-binding Rossmann-fold superfamily protein; FUNCTIONS IN: 3-oxoacyl-[acyl-carrier-protein] reductase activity, copper ion binding; INVOLVED IN: oxidation reduction, metabolic process, fatty acid biosynthetic process; LOCATED IN: chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: 3-oxoacyl-(acyl-carrier-protein) reductase (InterPro:IPR011284), Short-chain dehydrogenase/reductase, conserved site (InterPro:IPR020904), NAD(P)-binding domain (InterPro:IPR016040), Glucose/ribitol dehydrogenase (InterPro:IPR002347), Short-chain dehydrogenase/reductase SDR (InterPro:IPR002198); BEST Arabidopsis thaliana protein match is: NAD(P)-binding Rossmann-fold superfamily protein (TAIR:AT2G29370.1); Has 133396 Blast hits to 132816 proteins in 3924 species: Archae - 1008; Bacteria - 83642; Metazoa - 7884; Fungi - 7548; Plants - 3127; Viruses - 5; Other Eukaryotes - 30182 (source: NCBI BLink)."
AT1G08830	"CSD1 (COPPER/ZINC SUPEROXIDE DISMUTASE 1); copper, zinc superoxide dismutaseCSD1 (COPPER/ZINC SUPEROXIDE DISMUTASE 1)"
AT1G62810	"copper amine oxidase, putative"
AT1G07750	"RmlC-like cupins superfamily protein; FUNCTIONS IN: copper ion binding, zinc ion binding, nutrient reservoir activity; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Cupin, RmlC-type (InterPro:IPR011051), Cupin 1 (InterPro:IPR006045), RmlC-like jelly roll fold (InterPro:IPR014710), 11-S seed storage protein, plant (InterPro:IPR006044); BEST Arabidopsis thaliana protein match is: RmlC-like cupins superfamily protein (TAIR:AT2G28680.1); Has 920 Blast hits to 832 proteins in 102 species: Archae - 0; Bacteria - 2; Metazoa - 3; Fungi - 0; Plants - 914; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink)."
AT1G31710	"copper amine oxidase, putative"
AT1G31690	copper ion binding
AT1G31670	"copper amine oxidase, putative"
AT1G29100	copper-binding family protein
AT1G17800	plastocyanin-like domain-containing protein
AT1G41830	SKS6 (SKU5 Similar 6); pectinesterase
AT1G36390	"Co-chaperone GrpE family protein; FUNCTIONS IN: copper ion binding; INVOLVED IN: protein folding, protein import into mitochondrial matrix; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: GrpE nucleotide exchange factor (InterPro:IPR000740), GrpE nucleotide exchange factor, coiled-coil (InterPro:IPR013805), GrpE nucleotide exchange factor, head (InterPro:IPR009012); BEST Arabidopsis thaliana protein match is: Co-chaperone GrpE family protein (TAIR:AT5G17710.2); Has 7907 Blast hits to 7907 proteins in 2666 species: Archae - 104; Bacteria - 5138; Metazoa - 133; Fungi - 118; Plants - 143; Viruses - 0; Other Eukaryotes - 2271 (source: NCBI BLink)."
AT1G21850	SKS8 (SKU5 Similar 8); copper ion binding / oxidoreductase
AT1G53030	cytochrome c oxidase copper chaperone family protein
AT1G15140	"FAD/NAD(P)-binding oxidoreductase; FUNCTIONS IN: oxidoreductase activity, copper ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433), Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Oxidoreductase, FAD-binding domain (InterPro:IPR008333), Riboflavin synthase-like beta-barrel (InterPro:IPR017938), Phenol hydroxylase reductase (InterPro:IPR001221); BEST Arabidopsis thaliana protein match is: ferredoxin-NADP(+)-oxidoreductase 2 (TAIR:AT1G20020.3); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."
AT2G20420	"ATP citrate lyase (ACL) family protein; FUNCTIONS IN: succinate-CoA ligase (GDP-forming) activity, copper ion binding, ATP binding; INVOLVED IN: response to cadmium ion, metabolic process; LOCATED IN: mitochondrion; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Succinyl-CoA synthetase, beta subunit (InterPro:IPR005809), Succinyl-CoA synthetase, beta subunit, conserved site (InterPro:IPR017866), ATP-citrate lyase/succinyl-CoA ligase (InterPro:IPR005811), ATP-grasp fold (InterPro:IPR011761), ATP-grasp fold, subdomain 2 (InterPro:IPR013816), ATP-grasp fold, succinyl-CoA synthetase-type (InterPro:IPR013650), Succinyl-CoA synthetase-like (InterPro:IPR016102); BEST Arabidopsis thaliana protein match is: ATP-citrate lyase A-1 (TAIR:AT1G10670.4); Has 9337 Blast hits to 9333 proteins in 2108 species: Archae - 181; Bacteria - 4147; Metazoa - 466; Fungi - 228; Plants - 81; Viruses - 0; Other Eukaryotes - 4234 (source: NCBI BLink)."
AT2G37660	"NAD(P)-binding Rossmann-fold superfamily protein; FUNCTIONS IN: copper ion binding; INVOLVED IN: defense response to bacterium; LOCATED IN: thylakoid, apoplast, chloroplast stroma, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: 3-beta hydroxysteroid dehydrogenase/isomerase (InterPro:IPR002225), NAD(P)-binding domain (InterPro:IPR016040); BEST Arabidopsis thaliana protein match is: NAD(P)-binding Rossmann-fold superfamily protein (TAIR:AT5G02240.1); Has 2691 Blast hits to 2647 proteins in 745 species: Archae - 56; Bacteria - 1822; Metazoa - 3; Fungi - 41; Plants - 459; Viruses - 0; Other Eukaryotes - 310 (source: NCBI BLink)."
AT2G27730	copper ion binding; FUNCTIONS IN: copper ion binding; INVOLVED IN: photorespiration; LOCATED IN: in 6 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 74 Blast hits to 74 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 74; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
AT2G44790	UCC2 (UCLACYANIN 2); copper ion binding
AT2G26720	"plastocyanin-like domain-containing protein / mavicyanin, putative"
AT2G15780	glycine-rich protein; contains cupredoxin domain
AT2G15770	"glycine-rich protein, contains PC-like domain"
AT2G36460	"Aldolase superfamily protein; FUNCTIONS IN: copper ion binding; INVOLVED IN: response to salt stress, pentose-phosphate shunt; LOCATED IN: mitochondrion, plasma membrane, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), Fructose-bisphosphate aldolase, class-I (InterPro:IPR000741); BEST Arabidopsis thaliana protein match is: Aldolase superfamily protein (TAIR:AT3G52930.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
AT2G28190	"CSD2 (COPPER/ZINC SUPEROXIDE DISMUTASE 2); copper, zinc superoxide dismutase"
AT2G33210	"heat shock protein 60-2 (HSP60-2); CONTAINS InterPro DOMAIN/s: Chaperonin Cpn60/TCP-1 (InterPro:IPR002423), Chaperonin Cpn60, conserved site (InterPro:IPR018370), Chaperonin Cpn60 (InterPro:IPR001844); BEST Arabidopsis thaliana protein match is: heat shock protein 60 (TAIR:AT3G23990.1)."
AT2G01520	MLP328 (MLP-LIKE PROTEIN 328)
AT2G01530	MLP329 (MLP-LIKE PROTEIN 329)
AT2G37390	heavy-metal-associated domain-containing protein
AT2G25670	BEST Arabidopsis thaliana protein match is: copper ion binding (TAIR:AT4G32610.1); Has 43784 Blast hits to 26928 proteins in 1799 species: Archae - 86; Bacteria - 6347; Metazoa - 15971; Fungi - 5398; Plants - 1931; Viruses - 259; Other Eukaryotes - 13792 (source: NCBI BLink).
AT2G19940	"oxidoreductases, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;copper ion binding; FUNCTIONS IN: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor, copper ion binding; INVOLVED IN: response to cadmium ion, cellular amino acid metabolic process; LOCATED IN: nucleolus, chloroplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Semialdehyde dehydrogenase, dimerisation domain (InterPro:IPR012280), Semialdehyde dehydrogenase, NAD-binding (InterPro:IPR000534), N-acetyl-gamma-glutamyl-phosphate reductase (InterPro:IPR000706); Has 8034 Blast hits to 8033 proteins in 2187 species: Archae - 385; Bacteria - 4804; Metazoa - 0; Fungi - 163; Plants - 77; Viruses - 0; Other Eukaryotes - 2605 (source: NCBI BLink)."
AT2G21870	"MALE GAMETOPHYTE DEFECTIVE 1 (MGP1); FUNCTIONS IN: copper ion binding, cobalt ion binding, zinc ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, nucleolus, chloroplast, membrane; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 17 growth stages; Has 56 Blast hits to 56 proteins in 21 species: Archae - 2; Bacteria - 2; Metazoa - 1; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink)."
AT2G33740	CUTA chloroplast copper chaperone
